#     m                   NumOccur            
      10                  19600                               
      100                 140                 
      200                 140                 
      300                 140                 
      400                 140                 
      500                 140                 
      600                 140                 
      700                 140                 
      800                 140                 
      900                 140                 
      1000                140                                  
#         n = 1000000   num_pat = 20        num_iter = 1000
