#     n                   Naive               RK                  SA                  KMP                 AC                  
      10000               0.211379            0.0913457           0.0883577           0.195362            0.405885
      20000               0.408151            0.175736            0.168707            0.376588            0.776637
      30000               0.620535            0.265748            0.254826            0.570811            1.17585
      40000               0.827491            0.353887            0.339979            0.761247            1.56558
      50000               1.00758             0.431112            0.411726            0.927379            1.90416
      60000               1.21712             0.521407            0.497184            1.12102             2.30092
      70000               1.56553             0.670535            0.642154            1.4453              2.9691
      80000               1.88282             0.803426            0.770577            1.73198             3.55871
#         m = 5        num_pat = 1        num_iter = 100000
